"Query",Target
Quais são os documentos escritos por Chinua Achebe?,"AUT=Achebe, Chinua"
Mostre me os documentos escritos por Shashi Tharoor?,"AUT=Tharoor, Shashi"
Pesquisar documentos escritos por Jhumpa Lahiri?,"AUT=Lahiri, Jhumpa"
Quais são os trabalhos de Salman Rushdie?,"AUT=Rushdie, Salman"
Quais são os livros escritos por Anita Desai?,"AUT=Desai, Anita"
Verificar obras de Amitav Ghosh?,"AUT=Ghosh, Amitav"
Mostre me as publicações de R.K. Narayan?,"AUT=Narayan, R.K."
Quais são os documentos de Kamala Mark ANDaya?,"AUT=Mark ANDaya, Kamala"
Pesquisar obras de Aravind Adiga?,"AUT=Adiga, Aravind"
Quais são os livros de Manu Joseph?,"AUT=Joseph, Manu"
Mostre me os documentos escritos por Mulk Raj An AND?,"AUT=An AND, Mulk Raj"
Quais são as obras de Raja Rao?,"AUT=Rao, Raja"
Verificar documentos de Bhabani Bhattacharya?,"AUT=Bhattacharya, Bhabani"
Pesquisar publicações de Ruskin Bond?,"AUT=Bond, Ruskin"
Quais são os livros escritos por Vikram Ch ANDra?,"AUT=Ch ANDra, Vikram"
Mostre me os trabalhos de Rohini Mohan?,"AUT=Mohan, Rohini"
Quais são os documentos escritos por Mahasweta Devi?,"AUT=Devi, Mahasweta"
Pesquisar obras de Upamanyu Chatterjee?,"AUT=Chatterjee, Upamanyu"
Quais são os trabalhos de Kiran Nagarkar?,"AUT=Nagarkar, Kiran"
Verificar documentos de Pankaj Mishra?,"AUT=Mishra, Pankaj"
Pesquisar livros de Raj Kamal Jha?,"AUT=Jha, Raj Kamal"
Quais são os documentos de Tabish Khair?,"AUT=Khair, Tabish"
Mostre me as publicações de Anuradha Roy?,"AUT=Roy, Anuradha"
Verificar obras de Gita Mehta?,"AUT=Mehta, Gita"
Quais são os documentos escritos por Anita Nair?,"AUT=Nair, Anita"
Pesquisar publicações de Chitra Banerjee Divakaruni?,"AUT=Divakaruni, Chitra Banerjee"
Quais são os livros de Siddhartha Mukherjee?,"AUT=Mukherjee, Siddhartha"
Mostre me os trabalhos de Priya Basil?,"AUT=Basil, Priya"
Verificar documentos de Rupa Bajwa?,"AUT=Bajwa, Rupa"
Pesquisar livros de Sudha Murthy?,"AUT=Murthy, Sudha"
Quais são as obras de Aatish Taseer?,"AUT=Taseer, Aatish"
Quais são os documentos de Tishani Doshi?,"AUT=Doshi, Tishani"
Pesquisar publicações de Chetan Bhagat?,"AUT=Bhagat, Chetan"
Verificar documentos de Durjoy Datta?,"AUT=Datta, Durjoy"
Quais são os livros escritos por Amish Tripathi?,"AUT=Tripathi, Amish"
Mostre me os trabalhos de Ashwin Sanghi?,"AUT=Sanghi, Ashwin"
Pesquisar obras de Kiran Desai?,"AUT=Desai, Kiran"
Quais são os documentos escritos por Vikram Seth?,"AUT=Seth, Vikram"
Quais são os trabalhos de V.S. Naipaul?,"AUT=Naipaul, V.S."
Verificar documentos de Michael Ondaatje?,"AUT=Ondaatje, Michael"
Pesquisar publicações de Rohinton Mistry?,"AUT=Mistry, Rohinton"
Quais são os livros de Kazuo Ishiguro?,"AUT=Ishiguro, Kazuo"
Quais são os documentos de Peter Carey?,"AUT=Carey, Peter"
Mostre me os trabalhos de J.M. Coetzee?,"AUT=Coetzee, J.M."
Pesquisar obras de Nadine Gordimer?,"AUT=Gordimer, Nadine"
Verificar publicações de Chinua Achebe?,"AUT=Achebe, Chinua"
Quais são os documentos escritos por Kiran Nagarkar?,"AUT=Nagarkar, Kiran"
Quais são os livros de Upamanyu Chatterjee?,"AUT=Chatterjee, Upamanyu"
Verificar trabalhos de Kamala Mark ANDaya?,"AUT=Mark ANDaya, Kamala"
Pesquisar documentos de Jhumpa Lahiri?,"AUT=Lahiri, Jhumpa"
Quais são as obras de Amitav Ghosh?,"AUT=Ghosh, Amitav"
Mostre me os documentos escritos por Salman Rushdie?,"AUT=Rushdie, Salman"
Verificar publicações de Shashi Tharoor?,"AUT=Tharoor, Shashi"
Pesquisar livros de Anita Desai?,"AUT=Desai, Anita"
Quais são os documentos de R.K. Narayan?,"AUT=Narayan, R.K."
Mostre me os trabalhos de Aravind Adiga?,"AUT=Adiga, Aravind"
Quais são as obras de Manu Joseph?,"AUT=Joseph, Manu"
Verificar documentos de Mulk Raj An AND?,"AUT=An AND, Mulk Raj"
Pesquisar publicações de Raja Rao?,"AUT=Rao, Raja"
Quais são os livros de Bhabani Bhattacharya?,"AUT=Bhattacharya, Bhabani"
Mostre me os documentos escritos por Ruskin Bond?,"AUT=Bond, Ruskin"
Quais são as obras de Vikram Ch ANDra?,"AUT=Ch ANDra, Vikram"
Verificar publicações de Rohini Mohan?,"AUT=Mohan, Rohini"
Pesquisar documentos de Mahasweta Devi?,"AUT=Devi, Mahasweta"
Quais são os trabalhos de Upamanyu Chatterjee?,"AUT=Chatterjee, Upamanyu"
Mostre me os livros de Kiran Nagarkar?,"AUT=Nagarkar, Kiran"
Verificar documentos de Pankaj Mishra?,"AUT=Mishra, Pankaj"
Pesquisar publicações de Raj Kamal Jha?,"AUT=Jha, Raj Kamal"
Quais são as obras de Tabish Khair?,"AUT=Khair, Tabish"
Mostre me os documentos escritos por Anuradha Roy?,"AUT=Roy, Anuradha"
Quais são os livros de Gita Mehta?,"AUT=Mehta, Gita"
Verificar trabalhos de Anita Nair?,"AUT=Nair, Anita"
Pesquisar publicações de Chitra Banerjee Divakaruni?,"AUT=Divakaruni, Chitra Banerjee"
Quais são as obras de Siddhartha Mukherjee?,"AUT=Mukherjee, Siddhartha"
Mostre me os documentos escritos por Priya Basil?,"AUT=Basil, Priya"
Quais são os livros de Rupa Bajwa?,"AUT=Bajwa, Rupa"
Verificar publicações de Sudha Murthy?,"AUT=Murthy, Sudha"
Pesquisar documentos de Aatish Taseer?,"AUT=Taseer, Aatish"
Quais são as obras de Tishani Doshi?,"AUT=Doshi, Tishani"
Mostre me os documentos escritos por Chetan Bhagat?,"AUT=Bhagat, Chetan"
Verificar livros de Durjoy Datta?,"AUT=Datta, Durjoy"
Pesquisar trabalhos de Amish Tripathi?,"AUT=Tripathi, Amish"
Quais são os documentos de Ashwin Sanghi?,"AUT=Sanghi, Ashwin"
Mostre me os livros de Kiran Desai?,"AUT=Desai, Kiran"
Quais são os trabalhos de Vikram Seth?,"AUT=Seth, Vikram"
Pesquisar documentos de V.S. Naipaul?,"AUT=Naipaul, V.S."
Verificar obras de Michael Ondaatje?,"AUT=Ondaatje, Michael"
Quais são as publicações de Rohinton Mistry?,"AUT=Mistry, Rohinton"
Mostre me os livros de Kazuo Ishiguro?,"AUT=Ishiguro, Kazuo"
Quais são os trabalhos de Peter Carey?,"AUT=Carey, Peter"
Pesquisar publicações de J.M. Coetzee?,"AUT=Coetzee, J.M."
Verificar documentos de Nadine Gordimer?,"AUT=Gordimer, Nadine"
Quais são as obras de Chinua Achebe?,"AUT=Achebe, Chinua"
Qual é o livro sobre a jornada de um menino e um velho ao mar?,"""TIT=O Velho e o Mar"""
Mostre me o romance sobre a vida de uma mulher chamada Ana?,"""TIT=Anna Karenina"""
Pesquisar a obra que conta a história de um triângulo amoroso em Paris?,"""TIT=O Tempo Perdido"""
Qual é o livro sobre a sociedade distópica e o controle governamental?,"""TIT=1984"""
Verificar a obra que narra a vida de um advogado em Maycomb?,"""TIT=O Sol é para Todos"""
Quais são os documentos que falam sobre a vida na fazenda em Nebraska?,"""TIT=Minha Ántonia"""
Mostre me o livro que descreve a história de um anão chamado Quasimodo?,"""TIT=O Corcunda de Notre-Dame"""
Pesquisar a obra sobre a luta de um agricultor na Gr ANDe Depressão?,"""TIT=As Vinhas da Ira"""
Qual é o romance que se passa na era vitoriana e envolve Jane Eyre?,"""TIT=Jane Eyre"""
Verificar o livro que narra a odisseia de Ulisses após a guerra?,"""TIT=Odisseia"""
Quais são os documentos sobre um peixe gigante no mar?,"""TIT=Moby Dick"""
Pesquisar a obra que retrata uma família de imigrantes italianos?,"""TIT=A Amiga Genial"""
Qual é o romance sobre um homem que se transforma em inseto?,"""TIT=A Metamorfose"""
Mostre me o livro que conta a história de amor em tempos de guerra?,"""TIT=O Amor nos Tempos do Cólera"""
Verificar a obra sobre um milionário misterioso em Long Isl AND?,"""TIT=O Gr ANDe Gatsby"""
Quais são os documentos que falam de um assassinato em uma ilha?,"""TIT=E Não Sobrou Nenhum"""
Pesquisar o livro que descreve um mundo futurístico de autômatos?,"""TIT=Eu"
Qual é o romance que narra a vida de um homem chamado Winston Smith?,"""TIT=1984"""
Mostre me o livro que conta a história de quatro irmãs na Guerra Civil?,"""TIT=Mulherzinhas"""
Verificar a obra sobre a busca de um tesouro por Jim Hawkins?,"""TIT=A Ilha do Tesouro"""
Quais são os documentos sobre uma menina que fala com fantasmas?,"""TIT=A Menina que Roubava Livros"""
Pesquisar o livro que narra a vida de um órfão chamado Oliver Twist?,"""TIT=Oliver Twist"""
Qual é o romance sobre a vida em um castelo na Dinamarca?,"""TIT=Hamlet"""
Mostre me o livro que descreve a amizade entre um homem e um escravo?,"""TIT=As Aventuras de Huckleberry Finn"""
Verificar a obra que conta a história de um homem chamado Jay Gatsby?,"""TIT=O Gr ANDe Gatsby"""
Quais são os documentos sobre um grupo de crianças em uma ilha deserta?,"""TIT=O Senhor das Moscas"""
Pesquisar o livro que narra a vida de Elizabeth Bennet?,"""TIT=Orgulho e Preconceito"""
Qual é o romance sobre a busca por um anel poderoso?,"""TIT=O Senhor dos Anéis"""
Mostre me a obra que fala sobre um psiquiatra canibal?,"""TIT=O Silêncio dos Inocentes"""
Verificar o livro que conta a história de um capitão obcecado por uma baleia?,"""TIT=Moby Dick"""
Quais são os documentos sobre a vida em uma plantação de algodão?,"""TIT=E o Vento Levou"""
Pesquisar o romance que narra a vida de um prisioneiro no Château d'If?,"""TIT=O Conde de Monte Cristo"""
Qual é a obra sobre um homem que vive em uma cabana no lago?,"""TIT=Walden"""
Mostre me o livro que conta a história de um romance proibido em Verona?,"""TIT=Romeu e Julieta"""
Verificar a obra sobre uma jovem que trabalha como governanta?,"""TIT=Jane Eyre"""
Quais são os documentos que falam sobre a luta de classes na França?,"""TIT=Os Miseráveis"""
Pesquisar o livro que narra as aventuras de um hobbit?,"""TIT=O Hobbit"""
Qual é o romance sobre a vida de um soldado russo na guerra?,"""TIT=Guerra e Paz"""
Mostre me a obra que fala sobre um mágico em uma terra encantada?,"""TIT=O Mágico de Oz"""
Verificar o livro que conta a história de uma menina em uma floresta?,"""TIT=A Terra das Sombras"""
Quais são os documentos sobre uma revolução em uma fazenda?,"""TIT=A Revolução dos Bichos"""
Pesquisar o romance que narra a vida de um médico em Moscou?,"""TIT=Doutor Jivago"""
Qual é a obra sobre um homem que luta contra moinhos de vento?,"""TIT=Dom Quixote"""
Mostre me o livro que conta a história de um menino mágico?,"""TIT=Harry Potter"""
Verificar a obra sobre a guerra entre gregos e troianos?,"""TIT=Ilíada"""
Quais são os documentos sobre a vida de um vampiro em Forks?,"""TIT=Crepúsculo"""
Pesquisar o romance que narra a busca de um assassino em série?,"""TIT=O Silêncio dos Inocentes"""
Qual é a obra sobre uma jovem que descobre um mundo subterrâneo?,"""TIT=Alice no País das Maravilhas"""
Mostre me o livro que conta a história de uma viagem ao centro da Terra?,"""TIT=Viagem ao Centro da Terra"""
Verificar a obra sobre a vida de um detetive em Londres?,"""TIT=Sherlock Holmes"""
Quais são os documentos sobre um jovem príncipe na África?,"""TIT=O Pequeno Príncipe"""
Pesquisar o romance que narra a vida de um assassino frio?,"""TIT=Assassinato no Expresso do Oriente"""
Qual é a obra sobre uma menina que vive em uma mansão misteriosa?,"""TIT=O Jardim Secreto"""
Mostre me o livro que conta a história de uma tragédia familiar na Rússia?,"""TIT=Anna Karenina"""
Verificar a obra sobre a vida em um país totalitário?,"""TIT=1984"""
Quais são os documentos sobre a história de um homem solitário?,"""TIT=O Estrangeiro"""
Pesquisar o romance que narra a vida de um espião em tempos de guerra?,"""TIT=O Espião que Sabia Demais"""
Qual é a obra sobre um romance proibido em uma sociedade opressora?,"""TIT=Admirável Mundo Novo"""
Mostre me o livro que conta a história de um sobrevivente em uma ilha?,"""TIT=Robinson Crusoé"""
Verificar a obra sobre a vida de um pescador cubano?,"""TIT=O Velho e o Mar"""
Quais são os documentos sobre uma menina que vive no sertão brasileiro?,"""TIT=Gr ANDe Sertão: Veredas"""
Pesquisar o romance que narra a vida de um casal em um campo de concentração?,"""TIT=O Diário de Anne Frank"""
Qual é a obra sobre a vida de um jovem rebelde na América?,"""TIT=O Apanhador no Campo de Centeio"""
Mostre me o livro que conta a história de um amor impossível em Florença?,"""TIT=Um Quarto com Vista"""
Verificar a obra sobre a luta de um homem contra um sistema opressivo?,"""TIT=O Processo"""
Quais são os documentos sobre a vida de um adolescente problemático?,"""TIT=As Vantagens de Ser Invisível"""
Pesquisar o romance que narra a vida de um médico na Sibéria?,"""TIT=Doutor Jivago"""
Qual é a obra sobre um romance em uma sociedade distópica?,"""TIT=Admirável Mundo Novo"""
Mostre me o livro que conta a história de um príncipe em uma jornada?,"""TIT=O Pequeno Príncipe"""
Verificar a obra sobre a vida de um escravo em busca de liberdade?,"""TIT=Doze Anos de Escravidão"""
Quais são os documentos sobre a vida de uma mulher em busca de justiça?,"""TIT=Jane Eyre"""
Pesquisar o romance que narra a vida de uma família em tempos de guerra?,"""TIT=Guerra e Paz"""
Qual é a obra sobre a vida de um homem em uma missão?,"""TIT=Moby Dick"""
Mostre me o livro que conta a história de uma jovem em um mundo de fantasia?,"""TIT=Harry Potter"""
Verificar a obra sobre a vida de um soldado em combate?,"""TIT=O Falcão Maltês"""
Quais são os documentos sobre a vida de uma mulher em um triângulo amoroso?,"""TIT=Anna Karenina"""
Pesquisar o romance que narra a vida de um homem em uma viagem épica?,"""TIT=Odisseia"""
Qual é a obra sobre a vida de um jovem mago?,"""TIT=Harry Potter"""
Mostre me o livro que conta a história de uma revolução em uma fazenda?,"""TIT=A Revolução dos Bichos"""
Verificar a obra sobre a vida de um capitão em busca de vingança?,"""TIT=Moby Dick"""
Quais são os documentos sobre a vida de um detetive em Londres?,"""TIT=Sherlock Holmes"""
Pesquisar o romance que narra a vida de uma mulher em um casamento?,"""TIT=Madame Bovary"""
Qual é a obra sobre a vida de um homem em busca de justiça?,"""TIT=O Conde de Monte Cristo"""
Mostre me o livro que conta a história de uma jovem em um internato?,"""TIT=Jane Eyre"""
Verificar a obra sobre a vida de um grupo de crianças em uma ilha?,"""TIT=O Senhor das Moscas"""
Quais são os documentos sobre a vida de um jovem em um campo de concentração?,"""TIT=O Diário de Anne Frank"""
Pesquisar o romance que narra a vida de um homem em um mundo futurístico?,"""TIT=1984"""
Pesquisar livros sobre aventuras marítimas,"""ASS=aventuras marítimas%"""
Pesquisar documentos sobre a revolução francesa,"""ASS=revolução francesa%"""
Quais são os livros sobre história medieval?,"""ASS=história medieval%"""
Verificar documentos sobre inteligência artificial,"""ASS=inteligência artificial%"""
Pesquisar livros sobre filosofia existencialista,"""ASS=filosofia existencialista%"""
Quais são os documentos sobre a Segunda Guerra Mundial?,"""ASS=Segunda Guerra Mundial%"""
Mostre me livros sobre romances históricos,"""ASS=romances históricos%"""
Verificar publicações sobre psicologia infantil,"""ASS=psicologia infantil%"""
Pesquisar livros sobre biologia marinha,"""ASS=biologia marinha%"""
Quais são os documentos sobre física quântica?,"""ASS=física quântica%"""
Pesquisar livros sobre mitologia grega,"""ASS=mitologia grega%"""
Verificar documentos sobre políticas públicas,"""ASS=políticas públicas%"""
Quais são os livros sobre economia global?,"""ASS=economia global%"""
Pesquisar publicações sobre desenvolvimento sustentável,"""ASS=desenvolvimento sustentável%"""
Verificar livros sobre literatura clássica,"""ASS=literatura clássica%"""
Quais são os documentos sobre direitos civis?,"""ASS=direitos civis%"""
Pesquisar livros sobre medicina alternativa,"""ASS=medicina alternativa%"""
Verificar documentos sobre a guerra fria,"""ASS=guerra fria%"""
Quais são os livros sobre antropologia cultural?,"""ASS=antropologia cultural%"""
Pesquisar publicações sobre arquitetura moderna,"""ASS=arquitetura moderna%"""
Verificar livros sobre biodiversidade,"""ASS=biodiversidade%"""
Quais são os documentos sobre sociologia urbana?,"""ASS=sociologia urbana%"""
Pesquisar livros sobre astronomia,"""ASS=astronomia%"""
Verificar documentos sobre a independência dos Estados Unidos,"""ASS=independência dos Estados Unidos%"""
Quais são os livros sobre política internacional?,"""ASS=política internacional%"""
Pesquisar publicações sobre arte renascentista,"""ASS=arte renascentista%"""
Verificar livros sobre comportamento humano,"""ASS=comportamento humano%"""
Quais são os documentos sobre literatura infantil?,"""ASS=literatura infantil%"""
Pesquisar livros sobre engenharia genética,"""ASS=engenharia genética%"""
Verificar documentos sobre a história da África,"""ASS=história da África%"""
Quais são os livros sobre direitos humanos?,"""ASS=direitos humanos%"""
Pesquisar publicações sobre ciência espacial,"""ASS=ciência espacial%"""
Verificar livros sobre a mitologia nórdica,"""ASS=mitologia nórdica%"""
Quais são os documentos sobre filosofia política?,"""ASS=filosofia política%"""
Pesquisar livros sobre revoluções industriais,"""ASS=revoluções industriais%"""
Verificar documentos sobre a colonização das Américas,"""ASS=colonização das Américas%"""
Quais são os livros sobre neurociência?,"""ASS=neurociência%"""
Pesquisar publicações sobre história do Brasil,"""ASS=história do Brasil%"""
Verificar livros sobre direitos das mulheres,"""ASS=direitos das mulheres%"""
Quais são os documentos sobre poesia moderna?,"""ASS=poesia moderna%"""
Pesquisar livros sobre ciência da computação,"""ASS=ciência da computação%"""
Verificar documentos sobre a guerra do Vietnã,"""ASS=guerra do Vietnã%"""
Quais são os livros sobre ecologia?,"""ASS=ecologia%"""
Pesquisar publicações sobre teoria da relatividade,"""ASS=teoria da relatividade%"""
Verificar livros sobre psicologia social,"""ASS=psicologia social%"""
Quais são os documentos sobre cinema contemporâneo?,"""ASS=cinema contemporâneo%"""
Pesquisar livros sobre nanotecnologia,"""ASS=nanotecnologia%"""
Verificar documentos sobre a história da China,"""ASS=história da China%"""
Quais são os livros sobre literatura africana?,"""ASS=literatura africana%"""
Pesquisar publicações sobre sociologia da educação,"""ASS=sociologia da educação%"""
Verificar livros sobre genética,"""ASS=genética%"""
Quais são os documentos sobre música clássica?,"""ASS=música clássica%"""
Pesquisar livros sobre biotecnologia,"""ASS=biotecnologia%"""
Verificar documentos sobre a revolução industrial,"""ASS=revolução industrial%"""
Quais são os livros sobre filosofia da ciência?,"""ASS=filosofia da ciência%"""
Pesquisar publicações sobre guerras napoleônicas,"""ASS=guerras napoleônicas%"""
Verificar livros sobre medicina esportiva,"""ASS=medicina esportiva%"""
Quais são os documentos sobre literatura latino-americana?,"""ASS=literatura latino-americana%"""
Pesquisar livros sobre química orgânica,"""ASS=química orgânica%"""
Verificar documentos sobre direitos dos animais,"""ASS=direitos dos animais%"""
Quais são os livros sobre história da arte?,"""ASS=história da arte%"""
Pesquisar publicações sobre ciências ambientais,"""ASS=ciências ambientais%"""
Verificar livros sobre a mitologia romana,"""ASS=mitologia romana%"""
Quais são os documentos sobre filosofia moral?,"""ASS=filosofia moral%"""
Pesquisar livros sobre energia renovável,"""ASS=energia renovável%"""
Verificar documentos sobre a revolução russa,"""ASS=revolução russa%"""
Quais são os livros sobre educação infantil?,"""ASS=educação infantil%"""
Pesquisar publicações sobre história da música,"""ASS=história da música%"""
Verificar livros sobre saúde mental,"""ASS=saúde mental%"""
Quais são os documentos sobre ciência política?,"""ASS=ciência política%"""
Pesquisar livros sobre ficção científica,"""ASS=ficção científica%"""
Verificar documentos sobre a guerra civil americana,"""ASS=guerra civil americana%"""
Quais são os livros sobre direitos LGBTQ+?,"""ASS=direitos LGBTQ+%"""
Pesquisar publicações sobre matemática pura,"""ASS=matemática pura%"""
Verificar livros sobre antropologia social,"""ASS=antropologia social%"""
Quais são os documentos sobre literatura medieval?,"""ASS=literatura medieval%"""
Pesquisar livros sobre economia sustentável,"""ASS=economia sustentável%"""
Verificar documentos sobre a revolução cultural chinesa,"""ASS=revolução cultural chinesa%"""
Quais são os livros sobre saúde pública?,"""ASS=saúde pública%"""
Pesquisar publicações sobre poesia contemporânea,"""ASS=poesia contemporânea%"""
Verificar livros sobre ciência forense,"""ASS=ciência forense%"""
Quais são os documentos sobre direitos dos trabalhadores?,"""ASS=direitos dos trabalhadores%"""
Pesquisar livros sobre literatura japonesa,"""ASS=literatura japonesa%"""
Verificar documentos sobre a guerra de independência da Índia,"""ASS=guerra de independência da Índia%"""
Quais são os livros sobre física teórica?,"""ASS=física teórica%"""
Pesquisar publicações sobre biodiversidade marinha,"""ASS=biodiversidade marinha%"""
Verificar livros sobre sociologia do trabalho,"""ASS=sociologia do trabalho%"""
Quais são os documentos sobre cinema clássico?,"""ASS=cinema clássico%"""
Pesquisar livros sobre inteligência emocional,"""ASS=inteligência emocional%"""
água,"""PAL=água%"""
água e vinho,"""PAL=água e vinho%"""
amor,"""PAL=amor%"""
amor e ódio,"""PAL=amor e ódio%"""
